iter	Passed	Remaining
0	4	4495
1	8	4425
2	14	4981
3	19	4917
4	23	4715
5	29	4885
6	33	4811
7	38	4732
8	43	4738
9	50	4950
10	54	4902
11	59	4918
12	65	4944
13	69	4889
14	73	4828
15	79	4891
16	83	4849
17	88	4816
18	94	4854
19	99	4861
20	103	4815
21	107	4799
22	113	4822
23	118	4829
24	123	4834
25	130	4870
26	146	5266
27	152	5298
28	160	5368
29	164	5331
30	169	5291
31	175	5308
32	181	5320
33	188	5343
34	194	5361
35	201	5382
36	209	5440
37	218	5522
38	227	5600
39	232	5589
40	237	5563
41	244	5565
42	250	5569
43	257	5586
44	261	5554
45	266	5521
46	274	5566
47	283	5613
48	291	5662
49	296	5634
50	301	5616
51	308	5618
52	312	5585
53	316	5551
54	322	5546
55	327	5515
56	331	5484
57	337	5478
58	342	5456
59	346	5421
60	351	5407
61	355	5383
62	360	5357
63	364	5331
64	371	5337
65	375	5309
66	379	5286
67	384	5267
68	389	5251
69	393	5225
70	397	5203
71	402	5193
72	408	5191
73	413	5169
74	418	5164
75	422	5139
76	427	5122
77	432	5114
78	437	5095
79	441	5072
80	445	5053
81	450	5044
82	457	5049
83	461	5033
84	466	5024
85	471	5009
86	475	4991
87	480	4977
88	484	4959
89	488	4942
90	492	4923
91	497	4910
92	502	4897
93	506	4881
94	510	4863
95	514	4847
96	518	4829
97	522	4811
98	526	4794
99	530	4778
100	535	4770
101	539	4753
102	544	4741
103	548	4726
104	553	4715
105	557	4701
106	562	4692
107	566	4678
108	570	4664
109	574	4649
110	579	4638
111	583	4628
112	589	4623
113	595	4629
114	602	4638
115	607	4631
116	614	4635
117	618	4623
118	622	4612
119	628	4605
120	633	4601
121	638	4598
122	644	4598
123	649	4587
124	653	4575
125	658	4567
126	662	4556
127	667	4544
128	671	4531
129	675	4519
130	679	4510
131	683	4497
132	688	4486
133	692	4477
134	697	4470
135	702	4460
136	707	4454
137	712	4449
138	716	4436
139	720	4423
140	724	4413
141	729	4409
142	733	4398
143	738	4388
144	742	4377
145	746	4368
146	750	4357
147	755	4348
148	759	4338
149	763	4327
150	767	4317
151	771	4305
152	775	4295
153	780	4285
154	784	4274
155	788	4264
156	792	4253
157	796	4243
158	800	4232
159	804	4222
160	808	4213
161	812	4203
162	816	4194
163	820	4184
164	825	4177
165	829	4166
166	833	4157
167	837	4149
168	841	4139
169	846	4130
170	850	4120
171	854	4112
172	858	4104
173	863	4097
174	867	4089
175	871	4082
176	876	4073
177	880	4067
178	885	4060
179	889	4052
180	893	4043
181	897	4034
182	902	4027
183	905	4017
184	909	4008
185	913	3999
186	918	3991
187	922	3983
188	926	3974
189	930	3967
190	934	3959
191	938	3951
192	942	3942
193	946	3932
194	950	3925
195	954	3916
196	958	3907
197	962	3899
198	967	3892
199	971	3885
200	975	3876
201	979	3869
202	983	3861
203	987	3852
204	991	3844
205	995	3836
206	999	3829
207	1003	3822
208	1008	3815
209	1013	3811
210	1017	3806
211	1022	3800
212	1026	3794
213	1031	3788
214	1035	3780
215	1039	3774
216	1044	3767
217	1049	3765
218	1053	3758
219	1058	3751
220	1062	3745
221	1068	3745
222	1073	3740
223	1080	3741
224	1084	3736
225	1088	3729
226	1094	3726
227	1100	3727
228	1106	3726
229	1112	3723
230	1117	3720
231	1121	3714
232	1128	3715
233	1132	3707
234	1136	3701
235	1140	3693
236	1146	3689
237	1150	3682
238	1154	3676
239	1159	3671
240	1163	3663
241	1167	3657
242	1171	3650
243	1176	3645
244	1180	3638
245	1184	3631
246	1189	3626
247	1193	3619
248	1198	3613
249	1202	3607
250	1207	3603
251	1211	3596
252	1216	3590
253	1220	3584
254	1225	3581
255	1230	3575
256	1234	3569
257	1239	3563
258	1243	3557
259	1247	3550
260	1252	3545
261	1256	3539
262	1260	3533
263	1265	3527
264	1269	3521
265	1273	3514
266	1277	3507
267	1282	3501
268	1286	3494
269	1290	3488
270	1294	3481
271	1298	3475
272	1303	3469
273	1307	3463
274	1311	3456
275	1315	3450
276	1319	3444
277	1323	3437
278	1328	3432
279	1332	3425
280	1336	3419
281	1340	3412
282	1344	3406
283	1348	3399
284	1352	3392
285	1356	3386
286	1360	3380
287	1364	3372
288	1368	3365
289	1371	3358
290	1375	3351
291	1379	3344
292	1383	3337
293	1387	3330
294	1390	3323
295	1394	3315
296	1398	3309
297	1401	3302
298	1405	3296
299	1409	3289
300	1413	3282
301	1417	3275
302	1420	3268
303	1425	3262
304	1428	3255
305	1432	3248
306	1436	3243
307	1440	3236
308	1444	3230
309	1448	3223
310	1452	3216
311	1455	3210
312	1459	3203
313	1463	3197
314	1467	3191
315	1470	3183
316	1475	3178
317	1478	3171
